A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
b,'\'B1of10\'','\'B3of10\'',u,g,d,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B1of10\'','\'B2of10\'',u,g,i,h,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B1of10\'','\'B4of10\'',y,p,q,h,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B5of10\'',y,p,ff,ff,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B1of10\'','\'B1of10\'',u,g,m,v,'\'B1of10\'',t,f,'\'B1of10\'',f,s,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',y,p,c,h,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',y,p,cc,h,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B1of10\'','\'B2of10\'',u,g,c,v,'\'B1of10\'',f,f,'\'B1of10\'',f,s,'\'B1of10\'','\'B1of10\'',-
a,'\'B1of10\'','\'B1of10\'',u,g,q,v,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B5of10\'',u,g,c,v,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B1of10\'','\'B4of10\'',u,g,w,h,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B3of10\'','\'B1of10\'',u,g,ff,ff,'\'B1of10\'',f,t,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B1of10\'',u,g,w,v,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B1of10\'','\'B1of10\'',y,p,c,v,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B2of10\'','\'B1of10\'',y,p,j,j,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',u,g,m,v,'\'B1of10\'',f,f,'\'B1of10\'',t,s,'\'B2of10\'','\'B1of10\'',-
a,'\'B1of10\'','\'B4of10\'',u,g,w,v,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',u,g,w,v,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B4of10\'','\'B1of10\'',u,g,w,v,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
a,'\'B1of10\'','\'B1of10\'',u,g,ff,ff,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B3of10\'','\'B2of10\'',u,g,ff,ff,'\'B2of10\'',f,t,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B9of10\'','\'B4of10\'',u,g,ff,ff,'\'B2of10\'',f,t,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B1of10\'',u,g,aa,v,'\'B1of10\'',f,t,'\'B1of10\'',t,g,'\'B4of10\'','\'B1of10\'',-
b,'\'B1of10\'','\'B1of10\'',u,g,aa,v,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B5of10\'',u,g,c,v,'\'B2of10\'',f,t,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B7of10\'','\'B1of10\'',u,g,ff,ff,'\'B3of10\'',f,t,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B1of10\'','\'B1of10\'',u,g,d,v,'\'B1of10\'',f,f,'\'B1of10\'',t,s,'\'B2of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',u,g,c,v,'\'B1of10\'',f,f,'\'B1of10\'',t,s,'\'B2of10\'','\'B1of10\'',-
a,'\'B1of10\'','\'B2of10\'',u,g,q,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B2of10\'','\'B5of10\'',u,g,q,h,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B6of10\'','\'B10of10\'',y,p,ff,ff,'\'B1of10\'',t,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',u,g,ff,ff,'\'B2of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B1of10\'','\'B4of10\'',u,g,ff,ff,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B1of10\'',u,g,k,h,'\'B1of10\'',f,f,'\'B1of10\'',t,s,'\'B1of10\'','\'B1of10\'',-
a,'\'B3of10\'','\'B2of10\'',y,p,j,j,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B2of10\'','\'B2of10\'',u,g,w,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B1of10\'','\'B1of10\'',y,p,c,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B1of10\'','\'B1of10\'',u,g,aa,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B1of10\'','\'B4of10\'',u,g,d,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B1of10\'','\'B1of10\'',y,p,aa,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',u,g,m,v,'\'B1of10\'',t,f,'\'B1of10\'',t,s,'\'B2of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',y,p,c,h,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B1of10\'','\'B8of10\'',l,gg,ff,o,'\'B1of10\'',f,f,'\'B1of10\'',t,p,'\'B3of10\'','\'B10of10\'',+
b,'\'B1of10\'','\'B1of10\'',y,p,m,bb,'\'B1of10\'',f,f,'\'B1of10\'',t,s,'\'B3of10\'','\'B1of10\'',+
b,'\'B4of10\'','\'B1of10\'',y,p,c,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B2of10\'','\'B1of10\'',+
b,'\'B2of10\'','\'B1of10\'',u,g,w,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',+
a,'\'B1of10\'','\'B1of10\'',l,gg,cc,ff,'\'B4of10\'',f,f,'\'B1of10\'',t,s,'\'B2of10\'','\'B1of10\'',+
a,'\'B3of10\'','\'B1of10\'',u,g,cc,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',+
b,'\'B6of10\'','\'B1of10\'',y,p,k,v,'\'B1of10\'',t,t,'\'B2of10\'',f,g,'\'B2of10\'','\'B1of10\'',+
b,'\'B3of10\'','\'B1of10\'',u,g,w,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B3of10\'','\'B1of10\'',y,p,x,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B1of10\'',y,p,c,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B5of10\'','\'B2of10\'',u,g,i,bb,'\'B1of10\'',f,f,'\'B1of10\'',f,s,'\'B6of10\'','\'B1of10\'',-
b,'\'B4of10\'','\'B1of10\'',y,p,w,v,'\'B2of10\'',f,f,'\'B1of10\'',f,s,'\'B1of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B2of10\'',y,p,i,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B3of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',u,g,c,v,'\'B1of10\'',f,f,'\'B1of10\'',f,p,'\'B1of10\'','\'B1of10\'',-
a,'\'B3of10\'','\'B1of10\'',y,p,c,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B4of10\'','\'B1of10\'',u,g,c,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B3of10\'','\'B1of10\'',-
a,'\'B2of10\'','\'B5of10\'',u,g,d,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B4of10\'','\'B1of10\'',u,g,cc,bb,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B1of10\'',u,g,q,h,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B6of10\'','\'B3of10\'',u,g,c,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B4of10\'','\'B1of10\'',y,p,i,h,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B3of10\'','\'B2of10\'',y,p,aa,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B2of10\'',u,g,w,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B2of10\'','\'B1of10\'',-
a,'\'B4of10\'','\'B2of10\'',u,g,c,v,'\'B2of10\'',f,f,'\'B1of10\'',f,g,'\'B3of10\'','\'B1of10\'',-
b,'\'B5of10\'','\'B2of10\'',u,g,aa,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',u,g,i,bb,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B4of10\'','\'B1of10\'',-
b,'\'B4of10\'','\'B1of10\'',u,g,i,bb,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B4of10\'','\'B1of10\'',u,g,k,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B8of10\'','\'B3of10\'',u,g,e,z,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B1of10\'',u,g,c,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B2of10\'',y,p,c,bb,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B8of10\'','\'B1of10\'',u,g,c,v,'\'B1of10\'',t,t,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B1of10\'',u,g,w,v,'\'B1of10\'',f,t,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B2of10\'','\'B1of10\'',u,g,j,j,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',y,p,ff,ff,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B5of10\'',y,p,m,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B1of10\'',u,g,d,v,'\'B1of10\'',f,f,'\'B1of10\'',t,s,'\'B1of10\'','\'B1of10\'',-
b,'\'B4of10\'','\'B1of10\'',u,g,i,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B2of10\'','\'B1of10\'',-
a,'\'B1of10\'','\'B1of10\'',u,g,aa,v,'\'B1of10\'',f,t,'\'B1of10\'',t,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B5of10\'','\'B1of10\'',u,g,d,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B1of10\'','\'B1of10\'',u,g,q,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B2of10\'',u,g,d,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B4of10\'','\'B2of10\'',u,g,ff,ff,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B3of10\'','\'B2of10\'',u,g,k,v,'\'B2of10\'',f,f,'\'B1of10\'',t,s,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',u,g,ff,ff,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',u,g,k,ff,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B1of10\'','\'B1of10\'',y,p,k,v,'\'B1of10\'',f,f,'\'B1of10\'',f,s,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',u,g,e,dd,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B5of10\'','\'B1of10\'',u,g,m,v,'\'B5of10\'',f,t,'\'B1of10\'',t,g,'\'B2of10\'','\'B1of10\'',-
a,'\'B2of10\'','\'B3of10\'',u,g,aa,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B4of10\'','\'B1of10\'',y,p,m,v,'\'B1of10\'',f,f,'\'B1of10\'',f,s,'\'B2of10\'','\'B1of10\'',-
a,'\'B2of10\'','\'B5of10\'',y,p,k,h,'\'B2of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',y,p,r,n,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B1of10\'',y,p,w,v,'\'B3of10\'',f,f,'\'B1of10\'',t,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B5of10\'',u,g,e,dd,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B5of10\'','\'B2of10\'',u,g,k,h,'\'B1of10\'',f,f,'\'B1of10\'',t,s,'\'B2of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',u,g,w,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B1of10\'',u,g,aa,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
a,'\'B2of10\'','\'B1of10\'',y,p,e,dd,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B6of10\'',u,g,d,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',y,p,c,v,'\'B1of10\'',f,f,'\'B1of10\'',t,s,'\'B2of10\'','\'B1of10\'',-
b,'\'B4of10\'','\'B1of10\'',u,g,i,bb,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B3of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B1of10\'',u,g,i,bb,'\'B2of10\'',f,f,'\'B1of10\'',t,s,'\'B3of10\'','\'B1of10\'',-
b,'\'B5of10\'','\'B2of10\'',u,g,i,bb,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B2of10\'','\'B3of10\'',u,g,c,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B2of10\'','\'B1of10\'',y,p,i,bb,'\'B2of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B7of10\'','\'B2of10\'',y,p,ff,ff,'\'B2of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B5of10\'',u,g,k,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B4of10\'','\'B2of10\'',y,p,c,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',y,p,aa,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',u,g,c,v,'\'B1of10\'',f,f,'\'B1of10\'',t,s,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B6of10\'',u,g,i,bb,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',u,g,m,v,'\'B1of10\'',f,f,'\'B1of10\'',f,s,'\'B1of10\'','\'B1of10\'',-
b,'\'B1of10\'','\'B3of10\'',u,g,e,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B3of10\'','\'B1of10\'',-
b,'\'B4of10\'','\'B2of10\'',u,g,i,bb,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B3of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B5of10\'',u,g,aa,bb,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B4of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B1of10\'',u,g,m,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B5of10\'','\'B1of10\'',y,p,w,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B3of10\'','\'B1of10\'',u,g,d,v,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B1of10\'',y,p,x,h,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B2of10\'','\'B1of10\'',y,p,ff,ff,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B5of10\'',y,p,k,h,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B1of10\'',u,g,c,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B2of10\'',y,p,j,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B1of10\'',u,g,c,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B2of10\'','\'B1of10\'',-
a,'\'B6of10\'','\'B3of10\'',u,g,i,bb,'\'B2of10\'',f,f,'\'B1of10\'',t,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B2of10\'','\'B1of10\'',u,g,q,v,'\'B1of10\'',f,f,'\'B1of10\'',f,s,'\'B1of10\'','\'B1of10\'',-
b,'\'B4of10\'','\'B2of10\'',y,p,i,bb,'\'B1of10\'',f,f,'\'B1of10\'',t,g,'\'B3of10\'','\'B1of10\'',-
a,'\'B9of10\'','\'B3of10\'',u,g,ff,ff,'\'B1of10\'',f,f,'\'B1of10\'',f,s,'\'B1of10\'','\'B1of10\'',-
a,'\'B4of10\'','\'B3of10\'',y,p,k,v,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B1of10\'','\'B1of10\'',y,p,c,v,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B10of10\'','\'B1of10\'',-
b,'\'B1of10\'','\'B2of10\'',u,g,w,v,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B1of10\'','\'B1of10\'',u,g,q,v,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B3of10\'','\'B2of10\'',u,g,ff,ff,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
b,'\'B2of10\'','\'B2of10\'',u,g,c,v,'\'B1of10\'',f,t,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
a,'\'B2of10\'','\'B1of10\'',u,g,i,v,'\'B1of10\'',f,f,'\'B1of10\'',f,g,'\'B1of10\'','\'B1of10\'',-
