'refractive index',Sodium,Magnesium,Aluminum,Silicon,Potassium,Calcium,Barium,Iron,class
'\'B5of10\'','\'B5of10\'','\'B10of10\'','\'B3of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B5of10\'','\'B9of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B5of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B9of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B9of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B9of10\'','\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B6of10\'',1
'\'B3of10\'','\'B4of10\'','\'B9of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B9of10\'','\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B4of10\'','\'B5of10\'','\'B8of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B9of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'',1
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B4of10\'','\'B7of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B5of10\'',1
'\'B3of10\'','\'B4of10\'','\'B9of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B7of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B5of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B4of10\'',1
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B4of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B3of10\'','\'B9of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B5of10\'','\'B6of10\'','\'B9of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B4of10\'','\'B5of10\'','\'B9of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B2of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B4of10\'',1
'\'B4of10\'','\'B7of10\'','\'B9of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B9of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B3of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B5of10\'',1
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B4of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B2of10\'',1
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B2of10\'','\'B4of10\'','\'B8of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B4of10\'','\'B5of10\'','\'B8of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B5of10\'','\'B6of10\'','\'B9of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B5of10\'','\'B6of10\'','\'B9of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B5of10\'','\'B5of10\'','\'B9of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B6of10\'',1
'\'B4of10\'','\'B5of10\'','\'B8of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B4of10\'','\'B4of10\'','\'B8of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'',1
'\'B7of10\'','\'B5of10\'','\'B9of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B2of10\'',1
'\'B5of10\'','\'B4of10\'','\'B9of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',1
'\'B4of10\'','\'B5of10\'','\'B8of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B6of10\'','\'B5of10\'','\'B9of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B4of10\'',1
'\'B4of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B3of10\'',1
'\'B4of10\'','\'B5of10\'','\'B7of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B4of10\'','\'B4of10\'','\'B7of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B7of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B2of10\'',1
'\'B3of10\'','\'B3of10\'','\'B7of10\'','\'B4of10\'','\'B7of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'',1
'\'B1of10\'','\'B4of10\'','\'B8of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B7of10\'',1
'\'B4of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B5of10\'','\'B9of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B4of10\'','\'B9of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'',1
'\'B4of10\'','\'B5of10\'','\'B9of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B4of10\'','\'B5of10\'','\'B8of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B1of10\'',1
'\'B5of10\'','\'B5of10\'','\'B9of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B3of10\'',1
'\'B5of10\'','\'B6of10\'','\'B9of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B5of10\'','\'B5of10\'','\'B9of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B2of10\'',1
'\'B5of10\'','\'B5of10\'','\'B8of10\'','\'B3of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
'\'B5of10\'','\'B4of10\'','\'B9of10\'','\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B4of10\'',1
'\'B5of10\'','\'B4of10\'','\'B9of10\'','\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B4of10\'',1
'\'B5of10\'','\'B4of10\'','\'B8of10\'','\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B4of10\'',1
'\'B6of10\'','\'B4of10\'','\'B8of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',1
'\'B3of10\'','\'B7of10\'','\'B9of10\'','\'B5of10\'','\'B4of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'',2
'\'B4of10\'','\'B5of10\'','\'B9of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B7of10\'',2
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B5of10\'','\'B9of10\'','\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B5of10\'','\'B8of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B3of10\'',2
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B6of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B6of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B5of10\'','\'B8of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B2of10\'',2
'\'B2of10\'','\'B6of10\'','\'B7of10\'','\'B6of10\'','\'B5of10\'','\'B2of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B2of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B5of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B2of10\'',2
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B5of10\'','\'B7of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B2of10\'',2
'\'B4of10\'','\'B4of10\'','\'B9of10\'','\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'',2
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B5of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B4of10\'',2
'\'B3of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B4of10\'','\'B7of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B4of10\'','\'B4of10\'','\'B8of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B4of10\'','\'B4of10\'','\'B9of10\'','\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B3of10\'',2
'\'B3of10\'','\'B3of10\'','\'B8of10\'','\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'',2
'\'B3of10\'','\'B3of10\'','\'B7of10\'','\'B5of10\'','\'B7of10\'','\'B2of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
'\'B4of10\'','\'B4of10\'','\'B7of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',2
'\'B3of10\'','\'B4of10\'','\'B7of10\'','\'B4of10\'','\'B7of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'',2
'\'B3of10\'','\'B3of10\'','\'B7of10\'','\'B5of10\'','\'B6of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',2
'\'B4of10\'','\'B3of10\'','\'B7of10\'','\'B2of10\'','\'B8of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'',2
'\'B8of10\'','\'B5of10\'','\'B8of10\'','\'B2of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'',2
'\'B6of10\'','\'B5of10\'','\'B7of10\'','\'B3of10\'','\'B3of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',2
'\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B5of10\'','\'B5of10\'','\'B2of10\'','\'B8of10\'','\'B1of10\'','\'B7of10\'',2
