COMPACTNESS,CIRCULARITY,'DISTANCE CIRCULARITY','RADIUS RATIO','PR.AXIS ASPECT RATIO','MAX.LENGTH ASPECT RATIO','SCATTER RATIO',ELONGATEDNESS,'PR.AXIS RECTANGULARITY','MAX.LENGTH RECTANGULARITY ','SCALED VARIANCE ALONG MAJOR AXIS','SCALED VARIANCE ALONG MINOR AXIS','SCALED RADIUS OF GYRATION','SKEWNESS ABOUT MAJOR AXIS','SKEWNESS ABOUT MINOR AXIS','KURTOSIS ABOUT MINOR AXIS','KURTOSIS ABOUT MAJOR AXIS','HOLLOWS RATIO',class
5,6,6,4,3,2,4,5,3,6,3,3,5,2,3,4,4,6,van
4,4,7,2,2,2,3,6,2,4,3,2,4,2,5,4,5,6,van
7,7,10,5,3,2,7,2,5,6,5,6,7,2,7,3,4,5,saab
5,4,6,3,2,2,3,6,2,4,2,2,2,1,3,3,8,9,van
3,5,5,5,7,10,3,6,2,4,6,2,5,9,5,3,2,1,bus
8,10,10,3,1,1,10,1,10,8,8,10,10,4,3,3,2,1,bus
6,4,5,4,2,1,3,5,2,4,3,3,4,1,6,1,8,8,bus
4,4,4,3,2,2,2,7,1,4,2,2,4,2,2,1,6,7,van
3,1,4,2,2,1,1,8,1,2,1,1,1,1,1,4,8,9,van
5,5,9,5,2,2,5,3,5,4,4,4,3,1,2,4,7,8,saab
3,2,5,2,2,2,2,7,1,2,2,1,2,1,1,3,6,7,van
4,1,4,2,1,1,1,8,1,1,1,1,1,1,3,7,7,7,saab
4,5,5,3,3,1,3,5,2,5,3,2,6,2,3,3,5,5,bus
4,4,7,2,2,2,3,6,2,4,3,2,4,2,4,4,4,6,van
5,7,6,5,3,1,5,4,4,6,4,4,7,2,3,1,7,6,bus
5,9,9,5,2,2,7,2,5,7,6,6,9,2,3,1,4,5,opel
4,2,2,1,1,1,1,9,1,2,1,1,2,3,1,4,2,2,van
6,4,6,5,3,1,5,3,4,3,4,4,3,2,2,3,8,6,bus
7,9,9,4,2,2,7,2,6,8,5,7,7,2,3,3,3,5,saab
7,9,9,5,3,2,7,2,6,8,6,6,8,2,3,2,4,4,opel
3,6,5,3,2,1,3,5,2,4,3,3,5,3,1,1,3,4,bus
3,2,2,1,2,1,1,9,1,1,1,1,2,4,4,1,1,1,van
5,4,4,4,3,1,3,5,2,4,3,2,5,2,5,1,8,9,bus
4,3,5,2,2,1,3,6,1,3,2,2,3,2,1,1,6,6,bus
6,8,10,6,3,2,7,2,5,7,5,6,8,2,1,2,5,7,saab
3,5,6,3,2,2,3,6,2,5,3,2,5,2,1,1,4,6,van
3,2,2,1,2,1,2,8,1,1,1,1,2,4,3,1,1,1,saab
8,9,9,5,2,2,7,2,7,7,6,7,7,2,1,7,4,6,saab
7,5,7,4,2,1,6,2,5,4,5,5,4,3,3,2,7,4,bus
2,2,4,2,1,1,3,6,2,2,2,2,4,4,5,5,2,2,saab
4,4,7,3,2,2,3,5,2,5,3,3,5,2,3,3,3,5,van
4,4,6,3,2,2,2,6,1,4,2,2,4,1,5,3,8,8,saab
5,1,4,3,2,1,2,6,1,2,2,2,1,1,3,4,7,7,opel
7,6,10,6,3,2,7,2,6,6,6,6,6,2,3,10,5,7,opel
4,2,7,4,2,2,4,4,3,2,3,3,2,1,1,7,8,8,opel
6,5,7,3,3,2,3,5,3,5,3,3,5,2,8,2,6,7,van
2,5,5,1,1,1,3,6,2,5,3,2,5,4,1,1,2,2,bus
4,6,7,9,9,9,3,6,2,6,8,2,6,8,1,4,3,5,van
8,8,9,4,1,2,7,2,6,8,6,7,7,2,1,3,4,6,saab
2,5,4,3,3,1,3,6,2,4,3,2,5,3,4,1,3,3,bus
5,6,9,5,3,2,7,2,5,5,6,6,6,2,3,3,4,4,opel
4,2,2,1,1,1,1,9,1,2,1,1,2,4,4,4,1,1,van
5,7,7,2,1,2,4,5,3,7,3,3,5,3,3,2,3,5,van
5,2,5,4,2,2,4,4,3,3,4,3,2,2,2,2,6,6,saab
10,9,10,6,2,2,7,2,6,7,5,6,8,1,10,1,6,7,saab
5,5,6,2,2,2,4,5,3,6,3,3,6,3,1,1,3,5,van
4,4,5,2,1,2,2,8,1,4,2,1,3,2,1,2,5,5,van
3,4,4,1,1,1,3,6,2,4,3,2,5,4,3,4,2,1,bus
4,6,6,2,2,2,3,6,3,7,3,3,5,3,3,4,3,4,van
4,5,6,4,2,2,4,4,3,5,3,3,5,1,1,3,8,9,saab
2,2,4,1,1,1,2,6,2,2,2,2,3,3,1,1,2,2,saab
5,2,5,4,3,1,3,5,2,3,3,3,2,2,2,6,5,5,saab
6,9,9,6,3,2,7,2,6,8,6,6,9,2,1,2,4,6,opel
7,4,4,4,3,1,3,5,2,3,3,2,4,1,4,3,9,10,bus
7,9,9,4,1,1,10,1,10,8,8,10,8,4,3,7,2,1,bus
5,2,4,3,2,2,2,7,1,3,2,1,1,1,5,1,9,9,van
6,5,8,4,2,2,5,3,5,4,4,4,4,1,2,2,5,6,saab
4,6,7,2,1,2,3,6,3,6,3,3,5,2,3,3,2,4,van
8,8,9,6,3,2,7,2,6,7,5,6,7,1,1,1,5,7,opel
3,3,4,1,1,1,2,8,1,3,1,1,3,3,4,2,2,2,van
7,7,9,5,2,2,6,3,5,7,5,5,5,1,3,2,8,8,opel
1,2,4,2,2,1,2,8,1,2,1,1,2,3,6,6,3,2,opel
5,3,5,1,1,2,2,7,1,4,2,2,2,3,5,4,3,1,van
3,4,4,3,3,1,3,6,2,4,3,2,4,3,2,1,2,3,bus
5,5,7,5,3,1,5,3,5,4,4,5,5,2,1,1,6,6,bus
4,4,5,2,1,1,3,6,2,3,3,2,3,3,9,2,3,3,opel
2,4,4,1,2,2,3,6,2,4,3,2,4,4,3,5,1,1,bus
6,9,9,6,3,2,8,2,7,9,6,7,7,2,3,4,4,5,opel
3,5,6,3,3,2,2,6,1,5,2,2,4,2,1,3,5,7,van
6,7,7,6,3,1,6,3,5,6,5,5,7,2,2,2,7,5,bus
5,9,9,3,1,2,7,2,6,9,6,6,8,3,2,2,3,4,opel
6,10,10,6,3,2,8,2,7,10,5,7,7,2,5,7,4,6,opel
5,3,8,4,2,2,5,4,4,3,4,4,3,2,2,6,6,7,opel
1,2,2,1,1,1,1,9,1,2,1,1,3,4,1,4,1,1,opel
4,4,7,2,2,2,3,6,2,4,3,2,4,2,5,6,4,6,van
7,8,9,5,2,2,6,3,5,7,5,5,7,2,3,2,5,6,opel
4,3,6,3,2,2,4,4,4,3,4,4,3,2,1,3,4,5,saab
3,3,4,2,2,1,3,6,2,3,2,2,5,4,1,1,2,2,saab
7,8,8,5,3,1,7,2,6,7,6,6,7,3,5,1,6,4,bus
4,5,4,1,1,1,3,6,2,5,3,2,6,4,3,2,1,1,bus
4,5,5,3,3,1,3,6,2,4,3,2,6,2,1,1,4,3,bus
6,7,8,5,2,1,7,2,6,6,6,6,7,3,3,3,5,3,bus
5,2,4,2,1,1,1,8,1,2,2,1,1,1,1,1,7,5,van
2,3,6,2,1,1,3,6,2,3,3,2,3,3,4,8,2,4,opel
4,3,5,4,4,1,3,6,2,3,3,2,3,2,2,2,6,6,bus
9,10,10,4,1,1,10,1,10,8,8,10,10,4,5,4,2,1,bus
4,4,7,2,2,2,3,6,2,4,3,2,4,2,2,5,4,7,van
3,2,3,1,1,1,1,9,1,2,1,1,2,2,1,2,4,3,van
4,4,7,5,4,1,4,4,3,3,4,4,4,2,2,3,7,7,bus
2,2,3,1,1,1,1,8,1,1,1,1,2,3,4,2,1,1,opel
7,9,10,6,3,2,7,2,6,8,6,7,8,2,2,3,4,6,saab
5,2,7,3,1,2,4,4,3,2,4,3,3,2,5,4,5,5,opel
7,8,9,4,2,2,6,2,5,6,5,5,8,2,5,3,5,6,saab
5,6,7,3,2,2,3,5,3,7,3,3,5,3,2,4,3,5,van
3,5,4,3,2,1,3,6,2,4,2,2,5,2,1,1,3,3,bus
6,7,10,5,2,2,7,2,6,6,6,6,7,2,4,8,4,6,opel
4,4,6,3,2,1,3,6,2,3,2,2,4,2,8,4,3,3,saab
3,4,4,3,2,1,3,6,2,4,3,2,4,3,2,3,4,4,bus
5,5,10,6,3,2,6,2,5,5,5,6,6,2,3,10,5,7,opel
4,5,4,1,1,1,3,6,2,4,3,2,4,4,2,3,1,1,bus
2,5,4,7,9,10,3,6,2,4,6,2,5,8,1,1,2,2,bus
5,4,7,4,3,2,3,6,2,4,2,2,3,1,5,2,7,8,van
5,4,4,3,2,1,2,8,1,4,2,1,4,2,7,2,6,5,van
5,2,3,2,2,1,1,10,1,2,1,1,2,2,7,2,5,5,van
7,5,6,5,2,1,6,2,5,4,5,5,4,3,1,7,6,4,bus
8,8,9,5,2,2,8,2,7,8,5,7,7,2,5,3,4,6,saab
6,5,10,5,2,2,6,3,5,5,5,5,4,1,1,9,6,8,opel
3,3,6,3,2,2,3,6,2,3,3,2,2,2,1,4,3,4,opel
2,5,4,2,2,2,3,6,2,4,3,2,5,3,4,3,2,2,bus
6,6,6,5,3,1,5,3,5,5,4,5,4,2,3,2,7,5,bus
4,3,6,3,2,2,3,6,2,4,2,2,3,2,1,2,5,7,van
5,6,6,3,2,2,3,5,2,5,3,3,5,2,2,4,3,5,van
1,2,5,2,2,1,3,6,2,2,2,2,2,3,8,5,2,2,opel
4,1,2,1,2,1,1,10,1,1,1,1,2,2,10,1,2,2,opel
5,4,7,2,1,2,3,6,2,5,3,3,4,3,6,4,3,5,van
5,6,7,3,2,2,4,5,3,6,3,3,5,2,6,4,5,6,van
6,5,9,5,2,2,6,2,5,5,6,6,6,2,3,2,5,5,opel
8,8,10,6,3,2,8,2,7,8,6,7,7,2,6,7,4,7,saab
3,4,4,2,1,2,3,6,2,4,2,2,5,4,5,4,2,1,bus
5,7,6,4,2,1,4,4,4,6,4,4,6,2,3,3,7,7,bus
4,2,2,1,1,1,2,7,1,2,2,1,3,3,8,4,3,2,saab
4,6,6,2,2,2,4,5,3,6,3,3,5,3,5,3,3,4,van
5,3,6,3,2,2,3,6,2,4,2,2,2,1,5,1,8,9,van
4,2,3,2,2,1,1,9,1,2,1,1,2,2,10,6,5,5,saab
3,5,5,3,2,2,3,6,2,5,3,2,5,2,1,1,4,5,van
4,5,6,2,2,2,4,5,3,6,3,3,5,2,8,2,3,4,van
4,4,5,2,2,1,3,6,2,4,3,2,3,3,1,2,4,3,bus
3,4,4,3,2,4,3,6,2,3,3,2,3,3,3,4,3,4,bus
6,5,7,4,3,2,3,5,3,6,3,3,4,2,4,3,6,7,van
6,6,8,5,3,1,6,2,5,5,5,6,6,2,4,3,6,5,bus
6,5,9,4,2,2,6,3,5,5,5,5,6,2,6,4,5,6,saab
3,2,6,3,2,1,3,6,2,2,3,2,2,1,1,8,7,8,saab
6,4,9,4,2,2,5,3,5,3,5,4,4,2,4,10,6,9,saab
6,3,4,1,1,1,2,8,1,4,2,1,2,3,2,1,4,2,van
7,9,9,3,1,2,7,2,6,8,5,6,6,3,6,7,4,5,opel
4,6,6,10,10,9,4,5,3,7,6,3,5,5,1,4,3,5,van
3,6,5,2,2,2,4,5,3,7,3,3,5,3,2,1,3,4,van
4,4,4,3,2,2,2,7,1,4,2,1,4,2,4,1,6,7,van
4,2,4,2,2,1,1,8,1,2,1,1,3,2,7,5,3,3,saab
4,4,6,3,3,2,3,6,2,4,3,2,3,2,2,2,5,6,van
4,2,6,3,2,2,3,5,3,2,3,3,1,1,2,5,9,10,saab
2,4,4,1,1,2,3,6,2,4,2,2,4,4,4,2,1,1,bus
8,7,10,4,2,2,7,2,6,7,5,6,4,2,1,10,6,9,opel
2,4,4,1,1,2,3,6,2,4,3,2,5,4,2,2,1,1,bus
5,5,6,4,2,1,4,4,3,4,4,3,5,1,5,5,8,8,opel
7,9,10,5,2,2,8,2,7,8,5,7,6,2,1,5,5,7,opel
6,5,7,3,2,2,4,5,3,7,3,3,4,2,9,1,5,5,van
4,3,5,3,3,1,3,6,2,3,3,2,3,2,2,5,6,7,bus
4,4,5,3,2,2,3,5,2,4,3,3,4,1,7,3,9,10,saab
5,2,4,3,3,2,2,7,1,3,2,2,2,2,1,8,6,8,van
7,7,8,5,2,2,5,3,5,6,5,5,6,1,2,2,7,9,saab
5,5,7,5,3,1,5,3,5,4,5,5,3,2,2,6,7,6,bus
5,1,5,3,2,1,3,6,2,1,3,2,2,1,3,8,9,10,opel
8,7,10,5,2,2,7,2,6,6,5,6,5,2,1,6,5,7,saab
4,3,6,3,2,2,3,6,2,3,2,2,3,2,4,2,4,6,van
9,9,9,6,2,1,10,1,9,8,8,9,9,4,2,2,3,1,bus
3,2,6,2,1,1,3,6,2,2,2,2,2,1,5,6,7,8,opel
5,4,5,2,1,1,1,8,1,4,2,1,3,2,3,1,5,3,van
4,3,5,3,2,1,3,6,2,3,3,2,2,2,1,9,4,5,saab
4,5,5,3,2,1,3,6,2,4,3,2,5,1,8,1,6,6,opel
2,2,2,1,2,1,2,8,1,2,2,1,3,4,1,1,1,1,opel
8,8,9,5,2,2,6,2,5,7,5,6,6,1,8,1,7,9,opel
6,3,6,4,2,2,4,4,3,3,3,3,2,1,4,5,7,8,saab
3,3,5,2,2,1,2,7,1,3,2,1,3,2,2,3,5,5,saab
6,9,9,4,2,2,7,2,6,8,5,6,7,2,1,7,4,5,opel
7,9,8,4,2,2,8,2,7,8,5,7,6,2,1,8,4,6,opel
5,2,6,3,2,2,3,5,2,2,3,2,1,1,2,5,9,10,saab
9,7,9,4,2,2,7,2,6,7,6,6,6,2,9,1,5,6,saab
2,5,4,2,2,1,3,6,2,4,3,2,5,3,1,1,2,1,bus
6,2,5,1,1,2,2,8,1,3,2,1,2,2,1,4,4,2,van
8,7,9,5,2,2,7,2,6,6,5,6,5,2,4,1,5,7,opel
8,9,9,3,1,1,9,1,9,7,8,9,9,4,2,3,2,1,bus
5,5,6,3,3,2,3,6,2,5,2,2,5,1,5,4,6,7,van
5,7,9,4,2,1,7,2,6,5,6,6,7,3,4,7,4,3,bus
5,6,7,3,2,2,3,6,3,7,3,3,5,2,4,4,3,5,van
4,3,6,4,3,1,4,5,3,3,3,3,3,2,1,3,6,6,bus
3,3,7,4,2,1,5,4,4,2,5,4,3,2,2,10,5,6,opel
4,5,5,3,3,1,3,6,2,5,2,2,4,2,5,1,5,6,bus
5,2,5,4,3,1,3,5,2,2,3,2,2,2,1,6,7,8,bus
4,5,5,2,2,1,2,7,1,4,2,2,4,3,5,1,4,2,van
7,9,10,6,3,2,7,2,6,7,6,6,9,2,1,7,5,7,saab
2,2,3,1,1,1,1,9,1,1,1,1,1,3,2,4,1,2,opel
4,4,4,3,3,1,3,6,2,4,3,2,4,2,2,1,9,9,bus
3,1,2,1,2,1,1,10,1,1,1,1,2,3,5,7,3,3,saab
7,5,10,5,3,2,6,2,5,5,5,6,7,2,5,3,5,6,saab
6,4,5,5,3,1,5,3,4,3,4,4,3,2,4,5,7,6,bus
4,4,6,4,3,1,4,4,3,3,3,3,3,2,2,6,8,8,bus
6,5,5,3,2,1,3,5,3,5,3,3,5,2,6,3,5,5,opel
7,7,10,5,3,2,7,2,6,7,5,6,8,2,3,6,4,5,opel
4,2,6,4,2,2,3,5,2,2,3,3,3,1,1,5,6,6,opel
6,6,8,5,2,2,5,3,4,6,4,4,6,1,10,3,8,8,opel
4,3,6,3,3,2,3,6,2,3,2,2,4,2,1,4,5,6,van
5,4,5,2,2,1,3,6,2,4,3,2,5,2,7,1,5,5,saab
8,9,9,5,2,1,9,1,8,8,7,9,9,3,2,1,4,1,bus
5,2,7,3,2,1,4,5,3,2,3,3,3,2,5,6,5,5,saab
3,4,4,2,1,1,3,6,2,4,3,2,5,3,3,4,2,2,bus
8,9,9,6,3,2,7,2,7,8,6,7,7,2,9,3,5,5,saab
2,5,5,3,2,1,3,6,2,4,3,2,5,3,1,4,3,2,bus
2,5,5,2,1,1,3,6,2,5,3,2,6,3,2,4,2,2,bus
2,5,5,2,2,1,3,6,2,4,3,2,5,3,3,5,2,2,bus
5,6,7,3,3,2,3,6,3,6,3,3,5,2,4,4,3,5,van
4,2,5,3,2,2,3,5,2,2,3,3,1,1,3,6,7,8,saab
9,9,9,3,1,2,8,2,7,8,6,7,6,2,7,2,5,6,opel
7,9,9,4,2,2,7,2,6,9,5,6,7,2,5,4,4,5,opel
4,3,3,2,2,1,1,8,1,4,1,1,3,1,4,1,8,9,van
4,6,6,2,2,2,3,6,2,5,3,2,5,2,1,2,4,6,van
5,5,6,4,2,2,4,5,3,5,3,3,5,2,1,3,5,6,opel
3,4,4,1,1,1,3,6,2,4,2,2,4,4,1,2,1,1,bus
3,5,5,2,2,2,3,6,2,4,3,2,5,3,3,2,3,3,bus
7,9,9,3,1,2,7,2,6,9,5,6,8,2,1,1,3,4,opel
5,3,7,4,2,2,4,4,4,3,4,4,1,1,2,6,9,10,opel
3,2,5,3,2,2,2,7,1,3,2,2,1,2,1,2,5,5,van
4,4,5,3,3,1,3,6,2,3,3,2,4,2,2,5,6,6,bus
7,7,7,3,1,1,7,2,6,5,6,6,6,3,1,6,5,3,bus
4,2,5,2,1,1,2,7,1,2,2,2,2,2,1,1,4,4,opel
4,3,7,3,2,1,4,5,3,2,4,3,3,2,1,6,3,4,opel
3,5,6,3,2,1,3,6,2,4,3,2,5,3,4,1,3,2,saab
7,10,9,5,3,2,7,2,7,9,6,7,7,2,2,1,4,5,opel
3,5,4,2,2,2,3,6,2,4,3,2,5,2,1,1,3,4,bus
3,3,3,1,1,1,1,10,1,3,1,1,3,1,8,2,7,7,van
6,9,9,5,2,3,8,2,7,9,5,7,7,2,1,1,4,5,opel
4,5,7,2,1,2,3,5,3,6,3,3,5,3,3,4,3,5,van
6,7,6,5,3,1,5,3,5,6,4,5,6,2,3,1,7,6,bus
2,5,5,2,2,1,3,6,2,4,3,2,5,3,1,4,2,2,bus
3,4,4,2,1,1,2,7,1,3,2,2,4,2,3,4,3,3,saab
5,4,6,3,2,2,3,6,2,5,2,2,2,2,2,3,7,8,van
8,9,9,5,3,2,7,2,6,8,5,7,7,2,7,1,4,6,saab
5,1,4,2,2,2,2,7,1,2,2,1,1,1,4,2,7,7,van
7,9,10,5,3,2,7,2,6,7,5,6,7,2,7,6,5,6,saab
3,4,4,2,2,1,3,6,2,3,2,2,5,3,3,2,2,2,saab
3,1,1,1,1,1,1,9,1,1,1,1,2,4,3,3,2,1,van
3,1,1,1,2,1,1,10,1,1,1,1,2,4,6,6,2,1,saab
2,5,4,1,1,1,3,6,2,5,3,2,5,4,2,2,1,1,bus
6,8,9,4,2,2,7,2,6,7,5,6,6,2,1,6,4,6,saab
5,4,4,3,3,2,2,7,1,4,2,2,4,2,4,4,6,7,van
4,6,6,2,1,2,4,5,3,7,3,3,5,3,1,4,2,4,van
5,2,5,5,3,1,4,4,3,2,4,3,2,2,1,1,7,7,bus
3,5,4,2,1,2,3,6,2,4,3,2,5,3,1,3,1,1,bus
6,9,9,4,2,2,8,2,7,9,5,7,7,2,4,5,4,6,opel
2,6,5,2,2,1,3,5,2,5,3,2,6,3,3,3,3,3,bus
4,2,6,3,2,2,3,5,2,1,3,3,2,1,3,6,8,8,opel
5,5,5,3,2,1,4,5,3,4,3,3,5,1,5,4,7,7,opel
3,4,3,2,2,1,3,6,2,4,2,2,4,4,4,1,1,1,bus
7,9,10,6,3,2,7,2,6,8,6,6,7,2,1,4,4,6,saab
3,6,5,1,1,2,3,6,3,7,2,3,5,3,1,2,2,4,van
5,4,5,1,1,1,2,7,1,4,2,2,3,3,3,4,3,2,van
5,2,5,4,3,1,3,5,2,2,3,3,1,2,1,5,8,8,bus
4,3,6,4,2,1,4,4,3,2,4,3,3,2,1,6,6,6,saab
7,9,9,5,2,2,7,2,6,7,6,6,9,2,3,4,4,5,opel
3,1,2,2,2,1,1,10,1,1,1,1,2,2,2,5,3,3,saab
5,2,4,1,1,2,2,8,1,4,2,1,2,3,5,2,3,1,van
7,10,9,6,3,2,7,2,7,9,6,7,9,2,4,1,4,5,opel
3,5,6,2,2,2,3,6,3,6,2,2,5,2,3,5,3,4,van
5,4,4,3,3,1,2,6,1,4,2,2,5,1,5,2,8,8,bus
5,6,7,3,2,2,3,5,2,6,3,3,5,3,1,3,3,5,van
9,7,10,4,1,2,7,2,6,6,6,6,6,2,9,7,5,7,saab
4,2,6,3,1,1,3,5,2,2,3,3,1,1,4,4,7,7,saab
5,4,5,3,1,1,3,6,2,4,3,2,4,1,7,5,8,8,opel
6,6,9,5,2,2,6,2,5,5,5,6,6,2,4,1,4,6,saab
6,10,9,5,2,2,8,2,7,10,5,7,7,2,3,1,3,5,opel
3,2,2,1,1,1,2,8,1,2,1,1,2,3,2,4,2,1,saab
4,3,7,4,2,2,5,4,4,2,4,4,3,2,1,6,5,6,saab
4,3,3,2,1,1,1,9,1,3,1,1,3,1,5,2,6,6,van
4,1,5,2,2,1,1,8,1,2,1,1,1,1,2,5,8,9,van
7,7,9,4,2,2,5,3,5,6,4,5,5,1,6,2,8,9,saab
2,5,5,2,1,1,3,6,2,5,3,2,5,3,2,4,2,2,bus
3,4,4,1,1,1,3,6,2,4,3,2,4,4,3,1,1,1,bus
6,5,6,4,2,2,4,4,3,6,4,3,5,1,6,3,8,9,saab
3,3,3,2,2,1,1,9,1,3,1,1,3,1,4,2,8,9,van
3,2,4,1,1,1,1,9,1,2,1,1,2,3,1,2,2,2,van
2,5,4,3,3,1,3,6,2,4,3,2,5,3,3,1,2,1,bus
5,6,7,5,3,1,4,4,4,5,4,4,7,1,1,1,7,7,saab
4,4,7,3,2,2,3,6,2,6,2,2,2,1,1,7,7,9,van
5,5,6,3,2,2,3,6,2,5,2,2,4,1,3,3,8,9,van
8,10,10,4,1,2,10,1,10,8,8,10,8,4,1,5,2,1,bus
